second,cLeaf,cStem,cFruit
0,90000,250000,280000
300,89993.3676301,249992.124797,279993.415355
600,89986.9002491,249984.38081,279987.376165
900,89980.6818375,249976.833467,279982.170626
1200,89974.9094431,249969.636657,279978.472591
1500,89969.7590788,249962.927173,279976.891468
1800,89965.6022751,249956.994518,279978.709243
2100,89962.8000642,249952.119764,279985.176719
2400,89961.6559216,249948.53915,279997.347423
2700,89962.1762195,249946.257334,280015.249435
3000,89964.3838554,249945.292068,280038.965069
3300,89968.1459731,249945.539717,280068.035606
3600,89973.2581525,249946.84098,280101.749958
3900,89979.4099589,249948.953902,280139.032884
4200,89986.4488317,249951.759831,280179.352709
4500,89994.1123318,249955.054168,280221.805084
4800,90002.3467382,249958.795401,280266.201893
5100,90010.9627089,249962.835725,280311.895073
5400,90019.9318628,249967.153335,280358.783258
5700,90029.1543663,249971.670264,280406.522201
6000,90038.569483,249976.339105,280454.901415
6300,90048.1482246,249981.137425,280503.817513
6600,90057.8749479,249986.053471,280553.209793
6900,90067.6938437,249991.043207,280602.892801
7200,90077.5851832,249996.09124,280652.797617
7500,90087.5307713,250001.183214,280702.86299
7800,90097.5247,250006.314625,280753.065808
8100,90107.5598466,250011.479969,280803.379407
8400,90117.6300456,250016.674532,280853.779222
8700,90127.7228312,250021.888139,280904.229595
9000,90137.8444364,250027.126433,280954.734559
9300,90147.981573,250032.378318,281005.260799
9600,90158.1324455,250037.642365,281055.801314
9900,90168.295973,250042.917809,281106.348769
10200,90178.4725897,250048.205403,281156.889891
10500,90188.6567122,250053.500192,281207.417811
10800,90198.8469535,250058.800938,281257.930886
11100,90209.0444723,250064.108972,281308.416999
11400,90219.2476367,250069.422957,281358.868042
11700,90229.4540566,250074.740452,281409.295172
12000,90239.664981,250080.063061,281459.677008
12300,90249.8786745,250085.38929,281510.009715
12600,90260.0941092,250090.718403,281560.285687
12900,90270.3107069,250096.050001,281610.500322
13200,90280.5286168,250101.384245,281660.65302
13500,90290.7490666,250106.722294,281710.741924
13800,90300.97311,250112.064904,281760.77321
14100,90311.2009337,250117.412205,281810.743949
14400,90321.4319794,250122.763692,281860.650146
14700,90331.6657734,250128.118967,281910.487403
15000,90341.9023883,250133.478324,281960.240282
15300,90352.1412109,250138.840937,282009.920947
15600,90362.3824912,250144.207163,282059.518784
15900,90372.6263185,250149.577071,282109.030566
16200,90382.8727942,250154.950731,282158.452965
16500,90393.1222271,250160.328528,282207.7728
16800,90403.3740903,250165.709728,282257.003092
17100,90413.6284151,250171.094407,282306.136294
17400,90423.8850895,250176.482468,282355.168058
17700,90434.1444429,250181.874547,282404.064924
18000,90444.4058017,250187.269799,282452.841877
18300,90454.6690955,250192.668231,282501.488928
18600,90464.9337225,250198.068887,282550.041506
18900,90475.2007458,250203.473599,282598.412626
19200,90485.4695363,250208.881236,282646.6487
19500,90495.7397816,250214.291265,282694.77333
19800,90506.0122968,250219.704965,282742.722982
20100,90516.2870327,250225.122295,282790.487427
20400,90526.5634881,250230.542555,282838.088955
20700,90536.84156,250235.965665,282885.521099
21000,90547.1211833,250241.391581,282932.777443
21300,90557.4023462,250246.820301,282979.850997
21600,90567.6854438,250252.25245,283026.695779
21900,90577.9703782,250257.687753,283073.325965
22200,90588.2569922,250263.125905,283119.757031
22500,90598.5452933,250268.566908,283165.983064
22800,90608.8353616,250274.010902,283211.986049
23100,90619.127728,250279.458841,283257.676295
23400,90629.4214995,250284.909235,283303.158787
23700,90639.7166718,250290.362086,283348.429741
24000,90650.0139335,250295.818635,283393.366112
24300,90660.312872,250301.278144,283438.021712
24600,90670.6132108,250306.740109,283482.439424
24900,90680.9153038,250312.205138,283526.554543
25200,90691.2198873,250317.67449,283570.220167
25500,90701.5248749,250323.144543,283613.812871
25800,90711.8329801,250328.620007,283656.808839
26100,90722.1413408,250334.095914,283699.755347
26400,90732.4529892,250339.577516,283742.034531
26700,90742.7649459,250345.059646,283784.248567
27000,90753.0799879,250350.547065,283825.810297
27300,90763.3956097,250356.035467,283867.24489
27600,90773.7141111,250361.528749,283908.048054
27900,90784.0336436,250367.02379,283948.607485
28200,90794.3563641,250372.524267,283988.413372
28500,90804.6790846,250378.024745,284028.219259
28800,90815.0033214,250383.527659,284067.688843
29100,90825.3318744,250389.036496,284106.469308
29400,90835.6684031,250394.553164,284144.816588
29700,90846.0224395,250400.085094,284182.75275
30000,90856.414359,250405.648352,284220.280262
30300,90866.8561785,250411.252058,284257.503469
30600,90877.379961,250416.921449,284294.441095
30900,90887.98358,250422.65446,284331.201627
31200,90898.7003552,250428.477355,284367.78983
31500,90909.5565309,250434.41067,284404.246219
31800,90920.5447585,250440.448424,284440.615931
32100,90931.6922871,250446.612051,284476.905869
32400,90943.0040016,250452.905339,284513.121747
32700,90954.4691551,250459.319764,284549.264763
33000,90966.0990949,250465.864253,284585.323348
33300,90977.8971944,250472.541426,284621.29009
33600,90989.884146,250479.367551,284657.149851
33900,91002.0456104,250486.331249,284692.908434
34200,91014.3882128,250493.437677,284728.559959
34500,91026.9164682,250500.690324,284764.098582
34800,91039.6067277,250508.070519,284799.535809
35100,91052.5249483,250515.630115,284834.821525
35400,91065.6386527,250523.34351,284869.963908
35700,91078.9556063,250531.2168,284904.939494
36000,91092.4744535,250539.24892,284939.728231
36300,91106.1951261,250547.439833,284974.304375
36600,91120.1163175,250555.788551,285008.638794
36900,91134.2315182,250564.290011,285042.705063
37200,91148.541451,250572.944841,285076.470457
37500,91163.0434278,250581.75099,285109.904734
37800,91177.7319733,250590.704198,285142.985576
38100,91192.6152954,250599.81098,285175.666373
38400,91207.678268,250609.059432,285207.952522
38700,91222.9206405,250618.449365,285239.827334
39000,91238.3699162,250628.002459,285271.213454
39300,91254.0036854,250637.70103,285302.159966
39600,91269.8272852,250647.549262,285332.659228
39900,91285.8465679,250657.551726,285362.717289
40200,91302.0820493,250667.724513,285392.328152
40500,91318.4927994,250678.035322,285421.606117
40800,91335.183636,250688.566552,285450.426103
41100,91352.1284636,250699.297507,285478.907487
41400,91369.2995509,250710.206319,285507.11061
41700,91386.7019359,250721.296908,285535.043397
42000,91404.4535284,250732.661883,285562.563233
42300,91422.3919595,250744.173672,285589.839634
42600,91440.6249699,250755.917005,285616.656233
42900,91459.0929153,250767.845081,285642.98469
43200,91477.7767122,250779.94296,285668.736107
43500,91496.6388372,250792.181236,285693.859216
43800,91515.6515673,250804.53827,285718.253744
44100,91534.7885384,250816.993729,285741.648117
44400,91553.982478,250829.4949,285764.117863
44700,91573.1961497,250842.012949,285785.464805
45000,91592.3815104,250854.510543,285805.565536
45300,91611.4859725,250866.946879,285824.271086
45600,91630.440817,250879.268742,285841.335977
45900,91649.2033095,250891.442835,285856.795978
46200,91667.7329784,250903.437728,285870.614699
46500,91685.9660991,250915.204119,285882.607534
46800,91703.8733815,250926.71932,285892.787339
47100,91721.4327697,250937.966347,285901.167373
47400,91738.6661529,250948.962184,285907.94793
47700,91755.6039349,250959.730417,285913.335807
48000,91772.2737428,250970.292561,285917.500304
48300,91788.7230648,250980.685463,285920.682
48600,91804.9902323,250990.938979,285923.064846
48900,91821.1239988,251001.090909,285924.866563
49200,91837.1566256,251011.166517,285926.224273
49500,91853.1263782,251021.195549,285927.295003
49800,91869.063114,251031.201198,285928.197775
50100,91884.9879312,251041.200032,285929.011084
50400,91900.9118525,251051.200336,285929.78236
50700,91916.8374843,251061.204343,285930.519076
51000,91932.7633317,251071.210943,285931.217755
51300,91948.683697,251081.215792,285931.860343
51600,91964.5885834,251091.211154,285932.416695
51900,91980.4654403,251101.18727,285932.850762
52200,91996.2949683,251111.12941,285933.104975
52500,92012.0671165,251121.029429,285933.159623
52800,92027.7660015,251130.875029,285932.97382
53100,92043.3644837,251140.645419,285932.475057
53400,92058.8620328,251150.339787,285931.675491
53700,92074.2456553,251159.948061,285930.549011
54000,92089.4908457,251169.451455,285929.0417
54300,92104.5991145,251178.850914,285927.172263
54600,92119.5433811,251188.12562,285924.884567
54900,92134.3094041,251197.264367,285922.152823
55200,92148.8750717,251206.249911,285918.929483
55500,92163.2186941,251215.065332,285915.16831
55800,92177.3019771,251223.680938,285910.786984
56100,92191.1249219,251232.096488,285905.798163
56400,92204.6474997,251240.281023,285900.126916
56700,92217.8659938,251248.231551,285893.792213
57000,92230.778062,251255.946215,285886.820063
57300,92243.3850065,251263.426038,285879.255755
57600,92255.701686,251270.682562,285871.181935
57900,92267.7523483,251277.734648,285862.70684
58200,92279.5770317,251284.613309,285853.956097
58500,92291.178687,251291.321101,285845.003724
58800,92302.5721741,251297.869483,285835.88414
59100,92313.7628619,251304.262619,285826.613787
59400,92324.7521864,251310.501676,285817.207119
59700,92335.5425203,251316.588559,285807.682306
60000,92346.1490182,251322.534953,285798.064063
60300,92356.5471034,251328.322236,285788.362675
60600,92366.7955563,251333.995407,285778.618167
60900,92376.8755375,251339.540204,285768.838744
61200,92386.8066925,251344.971709,285759.042791
61500,92394.877598,251348.957444,285743.515369
61800,92399.8949641,251350.567464,285718.546571
62100,92402.5973209,251350.37676,285687.112249
62400,92403.6116729,251348.873366,285651.589565
62700,92403.3690945,251346.392724,285613.59099
63000,92402.1637516,251343.163622,285574.18581
63300,92400.2246599,251339.364071,285534.125849
63600,92397.7209457,251335.125536,285493.897426
63900,92394.7461109,251330.52077,285453.827622
64200,92391.402815,251325.629695,285414.12655
64500,92387.7458308,251320.495004,285374.942146
64800,92383.8347257,251315.163066,285336.344434
65100,92379.6991704,251309.656984,285298.421167
65400,92375.3675764,251303.998832,285261.234383
65700,92370.8844284,251298.223137,285224.711797
66000,92366.2461261,251292.327149,285188.974546
66300,92361.4914502,251286.340982,285153.902098
66600,92356.6196118,251280.264089,285119.580713
66900,92351.6523653,251274.113357,285085.935998
67200,92346.5910085,251267.889824,285053.022233
67500,92341.4551358,251261.60867,285020.738461
67800,92336.2489524,251255.273172,284989.090388
68100,92330.9789701,251248.888392,284958.058611
68400,92325.6508935,251242.45877,284927.623623
68700,92320.2697564,251235.988219,284897.766095
69000,92314.8400201,251229.480202,284868.466982
69300,92309.3656154,251222.937766,284839.708019
69600,92303.8502155,251216.363754,284811.469069
69900,92298.2927175,251209.757338,284783.792456
70200,92292.7009955,251203.124605,284756.596088
70500,92287.0775161,251196.46747,284729.863922
70800,92281.4245168,251189.787671,284703.580502
71100,92275.7407306,251183.08425,284677.785377
71400,92270.0394618,251176.367419,284652.272541
71700,92264.3059181,251169.625853,284627.308465
72000,92258.552402,251162.868996,284602.698482
72300,92252.7801011,251156.097767,284578.429431
72600,92246.9871151,251149.310729,284554.547561
72900,92241.1724148,251142.50712,284531.090771
73200,92235.3426612,251135.692037,284507.939315
73500,92229.4983432,251128.865858,284485.089536
73800,92223.6372826,251122.026936,284462.596905
74100,92217.7604474,251115.176026,284440.455782
74400,92211.8726544,251108.316801,284418.565657
74700,92205.973339,251101.448839,284396.943926
75000,92200.0581147,251094.568844,284375.70927
75300,92194.1346329,251087.682617,284354.683077
75600,92188.2001886,251080.788122,284333.938946
75900,92182.2560513,251073.886329,284313.451991
76200,92176.3027512,251066.977647,284293.215191
76500,92170.3399633,251060.06185,284273.2461
76800,92164.3685221,251053.139582,284253.530217
77100,92158.388951,251046.211251,284234.060529
77400,92152.4032498,251039.27836,284214.781924
77700,92146.4114293,251032.34092,284195.697306
78000,92140.4109286,251025.397049,284176.899214
78300,92134.4049609,251018.449141,284158.289539
78600,92128.3939488,251011.497516,284139.857317
78900,92122.3775992,251004.541967,284121.617508
79200,92116.3537368,250997.580926,284103.662479
79500,92110.3281928,250990.61866,284085.773707
79800,92104.2955041,250983.651201,284068.171513
80100,92098.2602643,250976.681899,284050.678202
80400,92092.2201305,250969.709062,284033.39376
80700,92086.1763408,250962.733604,284016.275768
81000,92080.1295292,250955.75598,283999.295362
81300,92074.0782266,250948.775165,283982.533998
81600,92068.0254453,250941.7933,283965.844765
81900,92061.9670437,250934.80749,283949.451818
82200,92055.90839,250927.821503,283933.072156
82500,92049.8467154,250920.833421,283916.863848
82800,92043.7821012,250913.843313,283900.828325
83100,92037.8427187,250906.950983,283885.382286
83400,92032.2488776,250900.327846,283871.278302
83700,92027.1468987,250894.087661,283858.995859
84000,92022.5829503,250888.266363,283848.653831
84300,92018.7836795,250883.040446,283841.028852
84600,92015.9852508,250878.593866,283836.917645
84900,92014.3218796,250875.031271,283836.741676
85200,92013.9762907,250872.495143,283841.091283
85500,92015.0005867,250871.026253,283850.104724
85800,92017.526381,250870.727399,283864.175986
86100,92021.3343203,250871.427888,283882.518726
86400,92026.2658215,250873.004342,283904.55923
86700,92032.3867339,250875.508442,283930.445177
87000,92039.3863936,250878.698318,283959.085067
87300,92047.1286789,250882.468169,283989.958985
87600,92055.4175392,250886.665268,284022.38577
87900,92064.1503261,250891.209721,284055.986219
88200,92073.2655181,250896.053797,284090.490395
88500,92082.6573946,250901.115041,284125.546371
88800,92092.2720383,250906.351493,284160.950029
89100,92102.0665958,250911.729808,284196.536835
89400,92112.0421346,250917.251375,284232.157736
89700,92122.0909214,250922.831206,284267.713724
90000,92132.2489303,250928.498121,284303.115863
90300,92142.4905126,250934.23235,284338.209472
90600,92152.7762229,250940.002319,284373.083904
90900,92163.1230941,250945.822226,284407.539192
91200,92173.5061407,250951.672199,284441.594676
91500,92183.9172769,250957.545665,284475.296888
91800,92194.3594649,250963.445674,284508.443572
92100,92204.8225016,250969.364039,284541.063655
92400,92215.301744,250975.297056,284573.163322
92700,92225.7931772,250981.241424,284604.777135
93000,92236.2962624,250987.197116,284635.787683
93300,92246.8075584,250993.161232,284666.24252
93600,92257.3256618,250999.132792,284696.101759
93900,92267.8488537,251005.110406,284725.372745
94200,92278.3760815,251011.093363,284754.019999
94500,92288.9061653,251017.080644,284782.068604
94800,92299.4382948,251023.071528,284809.541081
95100,92309.9719501,251029.065957,284836.336357
95400,92320.5063354,251035.062935,284862.562012
95700,92331.0411478,251041.062646,284888.097332
96000,92341.5760111,251047.064384,284913.061987
96300,92352.110691,251053.068123,284937.412684
96600,92362.6449287,251059.073664,284961.150437
96900,92373.1781968,251065.081288,284984.084584
97200,92383.7108533,251071.089743,285006.652776
97500,92394.2422176,251077.099749,285028.507846
97800,92404.7720391,251083.110957,285049.707303
98100,92415.3009213,251089.122862,285070.519252
