Amsterdam2022			
1	12.8	10.4	0.05
2	12.2	9.7	1.21
3	10.2	8.4	0.1
4	8.4	4.3	0.22
5	7.3	3.7	0.4
6	5.8	2.3	0.02
7	6	2.5	0.36
8	6.5	2.2	0.84
9	6.6	3.9	1.13
10	6.1	0.9	0
11	4.7	0.2	0.01
12	6.8	3.1	0
13	8	4.6	0
14	8	4.6	0
15	5.6	1.6	0
16	7.9	1.7	0.06
17	9	5.6	0
18	6.4	1.9	0.01
19	7.4	2.6	0.04
20	5.7	3.5	0.05
21	6.7	3.8	0.01
22	7.5	5.9	0
23	7.1	5.1	0
24	5.5	2.1	0
25	4.2	1.5	0
26	6.3	2.4	0
27	9	5.2	0.19
28	7.9	4.5	0
29	10.7	6.4	0
30	7.6	4.1	0
31	6.4	4.1	1.02
32	9	4.2	0.07
33	8.8	6.7	0.09
34	8.2	6.8	0.1
35	9.3	3	0.67
36	7.7	4.4	0.15
37	8.4	3.9	1.7
38	6.8	3.7	0.04
39	10.3	7.2	0
40	9	7.9	0
41	8.1	4.9	0.3
42	6.3	0.9	0.15
43	6.8	0.7	0
44	9	1.2	0
45	10.4	6.4	0.1
46	8.5	5.2	0.94
47	11.7	7.4	0.69
48	11.2	7.1	0.17
49	10.8	6.3	0.37
50	7.1	3.3	0.76
51	9.9	4.3	1.22
52	7.7	4.7	0.67
53	10.1	4.6	0.22
54	9.8	5.1	0
55	8.3	3.7	0.65
56	7.3	4.2	0.19
57	7.6	-1	0
58	8.4	0.7	0
59	8.9	0.5	0
60	6.3	3	0.07
61	9.9	2.5	0
62	9.5	0.2	0
63	9	-0.7	0
64	6.7	-1.6	0
65	5.4	0.9	0
66	5.6	0	0
67	8.6	-0.4	0
68	11.6	-0.1	0
69	13	1.3	0
70	12.9	3.8	0
71	13.4	8.2	0.08
72	15	7.8	0.09
73	11.2	6.8	0.13
74	12.9	5.7	0
75	12.8	4.5	0
76	10.9	5.2	0.24
77	13.4	4.3	0
78	11.6	4.6	0
79	8.1	3.4	0.19
80	14.3	2	0
81	17.4	5.2	0
82	16.8	4	0
83	15.3	4.7	0
84	13.8	4	0
85	14.5	4.3	0
86	12.8	5.5	0
87	12.5	4.4	0
88	12	4.9	0
89	8.2	3.6	0.1
90	6.2	1.5	1.65
91	5.1	1	0.52
92	6.2	1.3	0
93	7.2	-0.2	0.11
94	9.4	3.5	0.79
95	10.6	8.1	0.36
96	10.4	8.5	0.21
97	9.9	6.6	1.49
98	8.1	4.5	0.19
99	7.9	4.5	0.07
100	9.4	4.4	0.05
101	13.8	3.1	0
102	18.5	7.2	0.55
103	13.8	10.5	0.61
104	15.1	7.6	0.03
105	12	5.3	0
106	14.3	7.5	0
107	15.8	4.4	0
108	17.1	6.2	0
109	16.1	5.9	0
110	15.1	6.7	0
111	16	7	0
112	15.6	9	0.01
113	15.8	9.3	0
114	14.4	8.6	0
115	11.1	7.3	0.51
116	11.5	6.9	0
117	10.9	5.5	0.01
118	12.4	5.1	0
119	10.9	6.1	0
120	10.5	6.4	0
121	12.8	7.6	0
122	15	5.2	0
123	12.1	7.8	0.03
124	12.3	6.6	0.01
125	16	6	0.1
126	17.9	8.4	0
127	17	10.9	0.28
128	13.8	8.1	0
129	19.4	6.4	0
130	18.4	12.8	0.02
131	16.6	11.7	0.24
132	16.4	10.1	0
133	15.9	11.9	0
