Amsterdam2023				
296	13.6	6.2	0.2	5.47
297	12.5	10	0.79	3.57
298	10.9	7.7	0.91	2.04
299	11.8	5.6	0.11	4.53
300	10.9	8.6	1.33	1.77
301	13.2	8.3	0.56	3.99
302	14.7	10.4	1.08	6.03
303	13.8	9.5	0.49	4.88
304	13	9.7	1.43	5.1
305	14	9.2	0.8	2.35
306	12.2	8.3	1.09	2.3
307	11.3	7.8	1.15	4.66
308	9.9	6.6	0.44	2.98
309	11.5	7.5	0.5	3.51
310	11.2	8.5	0.34	4.05
311	11.4	8	0.42	5.35
312	10.6	8	0.83	2.71
313	10.8	7.2	1.04	3.83
314	9.3	6.3	0.59	2.05
315	10.2	5.5	0.16	4.86
316	9.8	3.3	0	4.53
317	14.5	4.7	0.95	1.58
318	12.7	9.7	0.68	3.76
319	11.5	9.1	0.42	4.31
320	9.4	3.7	0.01	3.02
321	8.9	2.4	0.11	2.4
322	13.3	4.2	1.09	0.54
323	13.2	11.4	0.58	4.28
324	12	6.7	0.23	4.35
325	10	3.5	0.02	1.94
326	10.7	1.7	0.03	2.03
327	13	10.1	0.07	1.97
328	8.5	5.4	0.28	3.72
329	8.1	3.8	0.08	3.35
330	7.4	3.5	0.23	1.54
331	5.4	2.8	1.73	1.03
332	4.3	-0.4	0.32	4.01
333	4.1	0.3	0.63	3.14
334	1.8	-3.7	0.07	3.11
335	0.8	-3.6	0	4.05
336	3.2	-4.2	0.06	3.39
337	1.2	-1.6	0.29	1.94
338	3.5	1.1	0.31	1.54
339	1.8	0.8	0.1	0.73
340	5.9	-0.4	0.01	3.32
341	2.6	-1.9	0	3.02
342	8.1	1.2	0.2	1.53
343	10.6	5.2	1.54	0.7
344	10.7	7.8	0.97	2.51
345	9.8	4.9	0.43	2.38
346	9.3	3.7	0.46	1.33
347	9	5.2	0.13	2.26
348	6.6	3.4	0.04	1.41
349	9.4	5.5	0.03	3.26
350	10.5	5.3	0	1.09
351	10.2	6.9	0	3.04
352	10.1	7.1	0	1.53
353	10.7	7	2.5	0.25
354	10.1	6.7	0.22	1.67
355	11.4	7	0.47	1.89
356	8.9	6.2	0.71	1.14
357	10.4	7.1	0.25	0.62
358	12.1	9.4	0.85	0.46
359	11.3	9.9	1.19	2.13
360	10.8	2.5	0.51	2.74
361	10	2	0.47	0.57
362	11.1	9.6	0.22	2.11
363	10.4	6.9	0.54	2.89
364	8.7	6.6	0.03	1.67
365	9.6	7.7	0.44	2.03
